Step,State Stack,Input,Action,Detail
78,0 13 36 67 5 24 47 7 25 52,# num do begin call id ...,REDUCE,"reduce by r42: TermList → eps  → GOTO(52, TermList) = 78"
79,0 13 36 67 5 24 47 7 25 52 78,# num do begin call id ...,REDUCE,"reduce by r36: Expression → Sign Term TermList  → GOTO(7, Expression) = 30"
80,0 13 36 67 5 24 47 7 30,# num do begin call id ...,SHIFT,shift to state 55
81,0 13 36 67 5 24 47 7 30 55,num do begin call id ; ...,REDUCE,"reduce by r31: RelOp → #  → GOTO(30, RelOp) = 57"
82,0 13 36 67 5 24 47 7 30 57,num do begin call id ; ...,REDUCE,"reduce by r39: Sign → eps  → GOTO(57, Sign) = 25"
83,0 13 36 67 5 24 47 7 30 57 25,num do begin call id ; ...,SHIFT,shift to state 49
84,0 13 36 67 5 24 47 7 30 57 25 49,do begin call id ; write ...,REDUCE,"reduce by r48: Factor → num  → GOTO(25, Factor) = 50"
85,0 13 36 67 5 24 47 7 30 57 25 50,do begin call id ; write ...,REDUCE,"reduce by r46: FactorList → eps  → GOTO(50, FactorList) = 76"
86,0 13 36 67 5 24 47 7 30 57 25 50 76,do begin call id ; write ...,REDUCE,"reduce by r43: Term → Factor FactorList  → GOTO(25, Term) = 52"
87,0 13 36 67 5 24 47 7 30 57 25 52,do begin call id ; write ...,REDUCE,"reduce by r42: TermList → eps  → GOTO(52, TermList) = 78"
88,0 13 36 67 5 24 47 7 30 57 25 52 78,do begin call id ; write ...,REDUCE,"reduce by r36: Expression → Sign Term TermList  → GOTO(57, Expression) = 82"
89,0 13 36 67 5 24 47 7 30 57 82,do begin call id ; write ...,REDUCE,"reduce by r29: Condition → Expression RelOp Expression  → GOTO(7, Condition) = 31"
90,0 13 36 67 5 24 47 7 31,do begin call id ; write ...,SHIFT,shift to state 62
91,0 13 36 67 5 24 47 7 31 62,begin call id ; write ( ...,SHIFT,shift to state 5
92,0 13 36 67 5 24 47 7 31 62 5,call id ; write ( num ...,SHIFT,shift to state 3
93,0 13 36 67 5 24 47 7 31 62 5 3,id ; write ( num * ...,SHIFT,shift to state 20
94,0 13 36 67 5 24 47 7 31 62 5 3 20,; write ( num * id ...,REDUCE,"reduce by r17: Statement → call id  → GOTO(5, Statement) = 24"
95,0 13 36 67 5 24 47 7 31 62 5 24,; write ( num * id ...,SHIFT,shift to state 47
96,0 13 36 67 5 24 47 7 31 62 5 24 47,write ( num * id ) ...,SHIFT,shift to state 9
97,0 13 36 67 5 24 47 7 31 62 5 24 47 9,( num * id ) ; ...,SHIFT,shift to state 33
98,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33,num * id ) ; read ...,REDUCE,"reduce by r39: Sign → eps  → GOTO(33, Sign) = 25"
99,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25,num * id ) ; read ...,SHIFT,shift to state 49
100,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 49,* id ) ; read ( ...,REDUCE,"reduce by r48: Factor → num  → GOTO(25, Factor) = 50"
101,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 50,* id ) ; read ( ...,SHIFT,shift to state 74
102,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 50 74,id ) ; read ( id ...,SHIFT,shift to state 48
103,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 50 74 48,) ; read ( id ) ...,REDUCE,"reduce by r47: Factor → id  → GOTO(74, Factor) = 93"
104,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 50 74 93,) ; read ( id ) ...,REDUCE,"reduce by r46: FactorList → eps  → GOTO(93, FactorList) = 102"
105,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 50 74 93 102,) ; read ( id ) ...,REDUCE,"reduce by r44: FactorList → * Factor FactorList  → GOTO(50, FactorList) = 76"
106,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 50 76,) ; read ( id ) ...,REDUCE,"reduce by r43: Term → Factor FactorList  → GOTO(25, Term) = 52"
107,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 52,) ; read ( id ) ...,REDUCE,"reduce by r42: TermList → eps  → GOTO(52, TermList) = 78"
108,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 25 52 78,) ; read ( id ) ...,REDUCE,"reduce by r36: Expression → Sign Term TermList  → GOTO(33, Expression) = 65"
109,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 65,) ; read ( id ) ...,SHIFT,shift to state 86
110,0 13 36 67 5 24 47 7 31 62 5 24 47 9 33 65 86,; read ( id ) ; ...,REDUCE,"reduce by r22: Statement → write ( Expression )  → GOTO(47, Statement) = 24"
111,0 13 36 67 5 24 47 7 31 62 5 24 47 24,; read ( id ) ; ...,SHIFT,shift to state 47
